index	time	x	y	z	thing
369	1643490304643	0.192	-0.101	9.686	noname
370	1643490304649	0.193	-0.099	9.694	noname
371	1643490304659	0.189	-0.078	9.673	noname
372	1643490304671	0.203	-0.105	9.68	noname
373	1643490304679	0.198	-0.095	9.691	noname
374	1643490304689	0.175	-0.076	9.675	noname
375	1643490304699	0.178	-0.081	9.665	noname
376	1643490304709	0.204	-0.091	9.677	noname
377	1643490304719	0.187	-0.113	9.68	noname
378	1643490304729	0.187	-0.07	9.659	noname
379	1643490304739	0.195	-0.105	9.68	noname
380	1643490304749	0.18	-0.087	9.682	noname
381	1643490304763	0.189	-0.094	9.685	noname
382	1643490304770	0.198	-0.098	9.68	noname
383	1643490304782	0.214	-0.099	9.677	noname
384	1643490304793	0.19	-0.078	9.689	noname
385	1643490304800	0.192	-0.075	9.677	noname
386	1643490304813	0.192	-0.096	9.696	noname
387	1643490304820	0.178	-0.083	9.691	noname
388	1643490304833	0.174	-0.086	9.66	noname
389	1643490304840	0.195	-0.109	9.683	noname
390	1643490304854	0.196	-0.093	9.677	noname
391	1643490304860	0.192	-0.102	9.673	noname
392	1643490304869	0.197	-0.062	9.685	noname
393	1643490304880	0.193	-0.111	9.676	noname
394	1643490304890	0.194	-0.09	9.67	noname
395	1643490304913	0.202	-0.087	9.68	noname
396	1643490304914	0.198	-0.107	9.679	noname
397	1643490304920	0.16	-0.186	9.205	noname
398	1643490304930	0.405	-0.021	9.58	noname
399	1643490304940	0.551	-0.419	6.856	noname
400	1643490304949	0.124	0.09	9.785	noname
401	1643490304962	0.67	0.053	10.745	noname
402	1643490304970	-0.242	-0.511	9.112	noname
403	1643490304983	0.241	0.154	9.416	noname
404	1643490304993	0.004	-0.011	10.033	noname
405	1643490305000	0.252	-0.365	9.676	noname
406	1643490305014	0.328	0.06	9.415	noname
407	1643490305020	0.178	0.042	9.926	noname
408	1643490305033	0.198	-0.269	9.787	noname
409	1643490305041	0.124	-0.039	9.33	noname
410	1643490305050	0.104	-0.113	9.886	noname
411	1643490305060	0.21	-0.239	9.734	noname
412	1643490305069	0.217	0.021	9.56	noname
413	1643490305081	0.255	-0.051	9.713	noname
414	1643490305090	0.184	-0.127	9.75	noname
415	1643490305100	0.176	-0.021	9.609	noname
416	1643490305112	0.141	-0.148	9.664	noname
417	1643490305120	0.157	-0.163	9.793	noname
418	1643490305132	0.207	-0.026	9.612	noname
419	1643490305141	0.226	-0.06	9.749	noname
420	1643490305150	0.186	-0.083	9.661	noname
421	1643490305162	0.16	-0.099	9.649	noname
422	1643490305170	0.165	-0.101	9.73	noname
423	1643490305182	0.188	-0.11	9.701	noname
424	1643490305193	0.197	-0.065	9.615	noname
425	1643490305200	0.221	-0.084	9.71	noname
426	1643490305215	0.199	-0.111	9.677	noname
427	1643490305220	0.195	-0.11	9.618	noname
428	1643490305232	0.178	-0.106	9.697	noname
429	1643490305244	0.202	-0.099	9.702	noname
430	1643490305250	0.232	-0.128	9.652	noname
431	1643490305260	0.187	-0.08	9.722	noname
432	1643490305269	0.215	-0.07	9.67	noname
433	1643490305284	0.184	-0.133	9.671	noname
434	1643490305290	0.181	-0.086	9.722	noname
435	1643490305300	0.174	-0.101	9.668	noname
436	1643490305310	0.192	-0.107	9.66	noname
437	1643490305322	0.215	-0.097	9.7	noname
438	1643490305331	0.208	-0.12	9.682	noname
439	1643490305342	0.177	-0.111	9.704	noname
440	1643490305350	0.183	-0.101	9.713	noname
441	1643490305362	0.176	-0.075	9.647	noname
442	1643490305372	0.19	-0.097	9.686	noname
443	1643490305381	0.211	-0.088	9.686	noname
444	1643490305394	0.194	-0.088	9.668	noname
445	1643490305400	0.203	-0.09	9.677	noname
446	1643490305413	0.195	-0.1	9.681	noname
447	1643490305424	0.198	-0.124	9.695	noname
448	1643490305431	0.18	-0.096	9.677	noname
449	1643490305461	0.141	-0.4	7.083	noname
450	1643490305462	-0.199	0.426	14.135	noname
451	1643490305465	0.279	-0.102	6.804	noname
452	1643490305472	1.062	-0.29	11.144	noname
453	1643490305483	-0.545	0.132	8.638	noname
454	1643490305490	0.475	-0.438	10.193	noname
455	1643490305499	0.092	-0.045	9.618	noname
456	1643490305510	0.088	0.195	9.44	noname
457	1643490305521	0.247	-0.333	10.543	noname
458	1643490305530	0.284	-0.117	8.964	noname
459	1643490305541	0.223	0.151	9.938	noname
460	1643490305550	0.12	-0.108	9.415	noname
461	1643490305563	0.165	0.038	9.794	noname
462	1643490305574	0.169	-0.233	9.807	noname
463	1643490305581	0.241	-0.101	9.568	noname
464	1643490305592	0.245	0.023	9.664	noname
465	1643490305601	0.209	-0.161	9.785	noname
466	1643490305613	0.165	-0.053	9.692	noname
467	1643490305624	0.157	-0.081	9.61	noname
468	1643490305631	0.168	-0.178	9.776	noname
469	1643490305644	0.221	-0.039	9.659	noname
470	1643490305651	0.229	-0.069	9.622	noname
471	1643490305661	0.234	-0.104	9.741	noname
472	1643490305671	0.187	-0.077	9.69	noname
473	1643490305681	0.141	-0.112	9.629	noname
474	1643490305691	0.172	-0.089	9.68	noname
475	1643490305700	0.198	-0.13	9.708	noname
476	1643490305711	0.212	-0.086	9.637	noname
477	1643490305721	0.221	-0.062	9.649	noname
478	1643490305730	0.208	-0.116	9.734	noname
479	1643490305742	0.184	-0.096	9.622	noname
480	1643490305753	0.187	-0.084	9.732	noname
481	1643490305761	0.211	-0.098	9.651	noname
482	1643490305772	0.205	-0.078	9.701	noname
483	1643490305780	0.219	-0.061	9.699	noname
484	1643490305794	0.209	-0.128	9.656	noname
485	1643490305801	0.179	-0.115	9.703	noname
486	1643490305813	0.156	-0.093	9.686	noname
487	1643490305824	0.18	-0.119	9.651	noname
488	1643490305832	0.212	-0.113	9.682	noname
489	1643490305844	0.209	-0.103	9.698	noname
490	1643490305852	0.204	-0.091	9.67	noname
491	1643490305862	0.197	-0.095	9.694	noname
492	1643490305871	0.175	-0.098	9.738	noname
493	1643490305881	0.18	-0.078	9.698	noname
494	1643490305891	0.196	-0.093	9.682	noname
495	1643490305900	0.221	-0.086	9.7	noname
496	1643490305911	0.204	-0.076	9.674	noname
497	1643490305921	0.204	-0.089	9.676	noname
498	1643490305932	0.189	-0.085	9.7	noname
499	1643490305942	0.187	-0.111	9.668	noname
500	1643490305952	0.208	-0.079	9.691	noname
